component_path,component_name,status,hardcoded_count,brand_color_usage,notes
src/StreamingTest.jsx,StreamingTest,yellow,23,C prop (2 refs),Internal test page; minimal C use; 23 hardcoded
src/AuthCallback.jsx,AuthCallback,yellow,22,CSS variables (--brand-primary),Uses var(--brand-primary) for CTAs; 22 hardcoded for loading states. Closest to GREEN — actually reads CSS vars for brand.
src/AdminTenants.jsx,AdminTenants,yellow,22,none,No C prop; 22 hardcoded; admin-only legacy page
src/WelcomeEmailSettings.jsx,WelcomeEmailSettings,yellow,20,C prop,Accepts C; 20 hardcoded for toggle/preview chrome
src/CustomerSuccessDashboard.jsx,CustomerSuccessDashboard,yellow,19,C prop (11 refs via colors.),Good pattern; 19 hardcoded health indicator colors (semantic)
src/components/DemoRequestForm.jsx,DemoRequestForm,yellow,18,none,Public form; 18 hardcoded; no theming
src/WhatsAppEmbeddedSignup.jsx,WhatsAppEmbeddedSignup,yellow,17,C prop,Accepts C; 17 hardcoded for step/status indicators
src/components/LeadPickerModal.jsx,LeadPickerModal,yellow,17,C prop,Accepts C; 17 hardcoded for selection highlights
src/AUPModal.jsx,AUPModal,yellow,15,none,Full-screen modal; 15 hardcoded; dark-only
src/PlatformUpdatesBell.jsx,PlatformUpdatesBell,yellow,14,none,Notification dropdown; 14 hardcoded category colors
src/DemoMode.jsx,DemoMode,yellow,13,Local const C (dark-only),Own local constant; 13 hardcoded; admin tool
src/PolandCarrierCard.jsx,PolandCarrierCard,yellow,12,C prop,Accepts C; 12 hardcoded for carrier status
src/PlatformUpdates.jsx,PlatformUpdates,yellow,12,C prop (8 refs via colors.),Accepts C; 12 hardcoded category badges
src/FeatureGate.jsx,FeatureGate,yellow,12,C prop,Accepts C; 12 hardcoded for gate/banner colors
src/EmailTrackingInstructions.jsx,EmailTrackingInstructions,yellow,11,C prop,Accepts C; 11 hardcoded for code-block styling
src/SupportRequestForm.jsx,SupportRequestForm,yellow,6,C prop,6 semantic hardcoded; C used for layout. Still prop-driven not CSS-var-driven.
src/SetupChecklist.jsx,SetupChecklist,yellow,7,C prop,7 semantic; C used for structure. Still prop-driven not CSS-var-driven.
src/AutoDetectBrandBar.jsx,AutoDetectBrandBar,yellow,9,C prop,Small component; 9 semantic indicators. Still needs CSS var migration.
src/GmailConnect.jsx,GmailConnect,yellow,6,C prop,Small component; 6 status colors. Prop-driven not CSS-var.
src/TenantBrandingManager.jsx,TenantBrandingManager,yellow,5,C prop,5 hardcoded; uses C for structure. Prop-driven not CSS-var.
src/BrandLogo.jsx,BrandLogo,yellow,2,BrandingContext,2 fallback colors; reads from useBranding(). Closest to green but still not CSS-var for structural colors.
src/components/LegalContent.js,LegalContent,green,0,none,Pure data; no styling. N/A for theming.
src/ThemeContext.js,ThemeContext,green,233,N/A (IS the theme system),Defines theme palettes; not a consumer. Will become the CSS var publisher in Phase 2.
src/BrandingContext.js,BrandingContext,green,8,N/A (IS the branding system),Already sets --brand-primary/--brand-secondary CSS vars on :root. Infrastructure component.
